Time,Relative Throttle Position(%),Speed (OBD)(km/h),SOC
81.4,1.96078432,27,66
81.5,1.96078432,27,66
81.6,1.96078432,26,66
81.7,1.96078432,26,66
81.8,1.96078432,26,66
81.9,0.39215687,26,66
82,0.39215687,26,66
82.1,0.39215687,26,66
82.2,0.39215687,26,66
82.3,0.39215687,26,66
82.4,0.39215687,26,66
82.5,0.39215687,26,66
82.6,0.39215687,26,66
82.7,0.39215687,26,66
82.8,0.39215687,26,66
82.9,5.88235283,26,66
83,5.88235283,26,66
83.1,5.88235283,26,66
83.2,5.88235283,25,66
83.3,5.88235283,25,66
83.4,5.88235283,25,66
83.5,16.47058868,25,66
83.6,16.47058868,25,66
83.7,16.47058868,25,66
83.8,16.47058868,25,66
83.9,16.47058868,28,66
84,16.47058868,28,66
84.1,16.47058868,28,66
84.2,14.11764717,28,66
84.3,14.11764717,28,66
84.4,14.11764717,28,66
84.5,14.11764717,28,66
84.6,14.11764717,28,66
84.7,14.11764717,31,66
84.8,14.11764717,31,66
84.9,14.11764717,31,66
85,14.11764717,31,66
85.1,0.39215687,31,66
85.2,0.39215687,31,66
85.3,0.39215687,31,66
85.4,0.39215687,31,66
85.5,0.39215687,31,66
85.6,0.39215687,32,66
85.7,0.39215687,32,66
85.8,0.39215687,32,66
85.9,0.39215687,32,66
86,0.39215687,32,66
86.1,0.39215687,32,66
86.2,0.39215687,30,66
86.3,0.39215687,30,66
86.4,0.39215687,30,66
86.5,0.39215687,30,66
86.6,0.78431374,30,66
86.7,0.78431374,30,66
86.8,0.78431374,30,66
86.9,0.78431374,30,66
87,0.78431374,29,66
87.1,0.78431374,29,66
87.2,0.78431374,29,66
87.3,0.78431374,29,66
87.4,9.4117651,29,66
87.5,9.4117651,29,66
87.6,9.4117651,29,66
87.7,9.4117651,29,66
87.8,9.4117651,29,66
87.9,9.4117651,29,66
88,10.1960783,29,66
88.1,10.1960783,29,66
88.2,10.1960783,29,66
88.3,10.1960783,29,66
88.4,10.1960783,30,66
88.5,10.1960783,30,66
88.6,10.1960783,30,66
88.7,0.39215687,30,66
88.8,0.39215687,30,66
88.9,0.39215687,30,66
89,0.39215687,30,66
89.1,0.39215687,30,66
89.2,0.39215687,30,66
89.3,0.39215687,30,66
89.4,0.39215687,31,66
89.5,0.39215687,31,66
89.6,0.39215687,31,66
89.7,0.39215687,31,66
89.8,0.39215687,31,66
89.9,0.39215687,31,66
90,0.39215687,31,66
90.1,0.39215687,29,66
90.2,0.39215687,29,66
90.3,0.39215687,29,66
90.4,0.39215687,29,66
90.5,0.39215687,29,66
90.6,0.39215687,29,66
90.7,0.39215687,29,66
90.8,0.39215687,29,66
90.9,0.39215687,27,66
91,0.39215687,27,66
91.1,0.39215687,27,66
91.2,0.39215687,27,66
91.3,0.39215687,27,66
91.4,0.39215687,27,66
91.5,0.39215687,27,66
91.6,0.39215687,27,66
91.7,0.39215687,24,66
91.8,0.39215687,24,66
91.9,0.39215687,24,66
92,0.39215687,24,66
92.1,0.39215687,24,66
92.2,0.39215687,24,66
92.3,0.39215687,24,66
92.4,0.39215687,24,66
92.5,0.39215687,23,66
92.6,0.39215687,23,66
92.7,0.39215687,23,66
92.8,4.70588255,23,66
92.9,4.70588255,23,66
93,4.70588255,23,66
93.1,4.70588255,23,66
93.2,4.70588255,21,66
93.3,4.70588255,21,66
93.4,4.70588255,21,66
93.5,5.09803915,21,66
93.6,5.09803915,21,66
93.7,5.09803915,21,66
93.8,5.09803915,20,66
93.9,5.09803915,20,66
94,5.09803915,20,66
94.1,5.09803915,20,66
94.2,5.09803915,20,66
94.3,5.09803915,20,66
94.4,8.62745094,20,66
94.5,8.62745094,20,66
94.6,8.62745094,20,66
94.7,8.62745094,22,66
94.8,8.62745094,22,66
94.9,8.62745094,22,66
95,8.62745094,22,66
95.1,8.62745094,22,66
95.2,14.50980377,22,66
95.3,14.50980377,22,66
95.4,14.50980377,22,66
95.5,14.50980377,25,66
95.6,14.50980377,25,66
95.7,14.50980377,25,66
95.8,11.37254906,25,66
95.9,11.37254906,25,66
96,11.37254906,25,66
96.1,11.37254906,25,66
96.2,11.37254906,28,66
96.3,11.37254906,28,66
96.4,11.37254906,28,66
96.5,13.33333302,28,66
96.6,13.33333302,28,66
96.7,13.33333302,28,66
96.8,13.33333302,29,66
96.9,13.33333302,29,66
97,13.33333302,29,66
97.1,29.41176414,29,66
97.2,29.41176414,29,66
97.3,29.41176414,29,66
97.4,29.41176414,29,66
97.5,29.41176414,29,66
97.6,29.41176414,34,66
97.7,29.41176414,34,66
97.8,29.41176414,34,66
97.9,29.41176414,34,66
98,29.41176414,34,66
98.1,29.41176414,34,66
98.2,29.41176414,34,66
98.3,29.41176414,34,66
98.4,29.41176414,34,66
98.5,0.39215687,34,66
98.6,0.39215687,34,66
98.7,0.39215687,34,66
98.8,0.39215687,35,66
98.9,0.39215687,35,66
99,0.39215687,35,66
99.1,0.39215687,35,66
99.2,0.39215687,35,66
99.3,0.39215687,35,66
99.4,0.39215687,35,66
99.5,0.39215687,35,66
99.6,0.39215687,30,66
99.7,0.39215687,30,66
99.8,0.39215687,30,66
99.9,11.76470566,30,66
100,11.76470566,30,66
100.1,11.76470566,30,66
100.2,11.76470566,30,66
